Serial  Exact_Count  Global_Count  Error
574  226521  234360  3.46046
575  227282  235038  3.41259
576  228056  235038  3.06162
577  228906  236406  3.27659
578  229751  237095  3.19633
579  230669  238477  3.38505
580  231566  239173  3.28515
581  232461  239173  2.88749
582  233352  239875  2.79521
583  234225  240581  2.71355
584  235034  244124  3.8675
585  235786  244124  3.53624
586  236613  245556  3.77945
587  237423  246277  3.72937
588  238359  247002  3.62608
589  239213  248459  3.8652
590  239970  249923  4.14767
591  240820  250658  4.08531
592  241619  250658  3.74112
593  242534  251400  3.65575
594  243359  252146  3.61055
595  244249  252896  3.54007
596  245061  255158  4.12038
597  245968  255158  3.73644
598  246758  255920  3.7129
599  247555  255920  3.379
600  248361  256689  3.35326
601  249221  257462  3.30683
602  250048  257462  2.96515
603  250952  259026  3.21724
604  251767  259026  2.88311
605  252648  260603  3.14883
606  253553  261398  3.09404
607  254418  261398  2.74353
608  255272  262197  2.71267
609  256170  264610  3.29465
610  257126  265417  3.22442
611  258118  265417  2.82771
612  258919  265417  2.5096
613  259748  266238  2.49841
614  260687  267061  2.44493
615  261527  267061  2.11588
616  262494  267893  2.05697
617  263354  267893  1.7237
618  264418  267893  1.31437
619  265324  268736  1.28609
620  266153  269585  1.28965
621  267074  270436  1.25894
622  267995  270436  0.910954
623  268857  272160  1.22865
624  269738  272160  0.898025
625  270669  274765  1.51319
626  271704  274765  1.1265
627  272651  279156  2.38591
628  273536  281797  3.02005
629  274444  281797  2.67921
630  275327  282685  2.67263
631  276137  283581  2.69571
632  277144  283581  2.32257
633  278087  285386  2.62475
634  279044  285386  2.27279
635  279957  285386  1.93926
636  280889  285386  1.60102
637  281801  286306  1.59863
638  282864  288155  1.87062
639  283831  288155  1.52355
640  284750  288155  1.1959
641  285644  290033  1.53647
642  286616  290975  1.52074
643  287466  291923  1.55061
644  288422  292875  1.54384
645  289398  292875  1.20138
646  290342  293836  1.20326
647  291167  294801  1.24808
648  292168  294801  0.901194
649  293157  294801  0.560792
650  294060  295778  0.58418
651  295008  296760  0.59386
652  295894  296760  0.29265
653  296875  298743  0.62938
654  297815  299741  0.646837
655  298716  299741  0.343261
656  299614  299741  0.0425137
657  300666  300751  0.028253
658  301573  300751  0.272588
659  302524  300751  0.586087
660  303457  301774  0.554524
661  304377  302803  0.517169
662  305324  303834  0.488029
663  306213  304873  0.437576
664  307204  306958  0.0801422
665  308403  308006  0.128679
666  309352  308006  0.435055
667  310288  308006  0.735398
668  311253  309070  0.701484
669  312288  310134  0.689649
670  313188  310134  0.975034
671  314268  310134  1.31534
672  315257  311214  1.28232
673  316434  311214  1.6495
674  317429  312306  1.61388
675  318547  312306  1.95919
676  319533  313407  1.91705
677  320527  316719  1.18801
678  321555  317830  1.1585
679  322752  317830  1.52508
680  323832  318951  1.50732
681  324825  318951  1.80842
682  325874  318951  2.1245
683  326831  318951  2.41109
684  327964  318951  2.74823
685  328980  318951  3.04857
686  330107  318951  3.37957
687  331148  320106  3.33432
688  332246  320106  3.65377
689  333316  320106  3.96306
690  334325  320106  4.2529
691  335427  321280  4.21766
692  336392  323639  3.79106
693  337538  324824  3.76682
694  338671  324824  4.08877
695  339692  326020  4.02477
696  340763  327220  3.97418
697  341749  327220  4.25122
698  342752  329643  3.82466
699  343788  330858  3.76102
700  344942  332079  3.72896
701  345913  333307  3.64429
702  347039  335768  3.24768
703  348130  338246  2.83929
704  349133  339487  2.76285
705  350233  343235  1.99821
706  351315  343235  2.30004
707  352362  344495  2.23268
708  353395  345758  2.16106
709  354607  349559  1.42358
710  355738  350831  1.37942
711  356858  350831  1.68894
712  357853  353402  1.24386
713  358982  354692  1.19512
714  360102  354692  1.50243
715  361240  355994  1.45223
716  362305  355994  1.74191
717  363339  357306  1.66054
718  364469  358626  1.6032
719  365722  358626  1.94031
720  366925  358626  2.26181
721  368094  358626  2.57221
722  369118  361304  2.11686
723  370136  362652  2.02202
724  371355  362652  2.34364
725  372412  362652  2.62082
726  373550  362652  2.91748
727  374650  362652  3.20252
728  375802  366769  2.40374
729  376969  366769  2.70587
