Serial  Exact_Count  Global_Count  Error
532  193333  183600  5.69735e-309
533  194139  184500  5.69764e-309
534  194986  185400  5.698e-309
535  195791  186200  5.69824e-309
536  196486  187200  5.69873e-309
537  197286  187800  5.69877e-309
538  198026  188200  5.69898e-309
539  198737  188900  5.69919e-309
540  199416  189800  5.69943e-309
541  200231  190600  5.69962e-309
542  200985  191000  5.69962e-309
543  201765  191500  5.69972e-309
544  202659  192400  5.69989e-309
545  203340  193000  5.70023e-309
546  204172  194400  5.70049e-309
547  205083  195100  5.70068e-309
548  205820  195600  5.70095e-309
549  206639  196900  5.70119e-309
550  207425  197800  5.70136e-309
551  208320  199100  5.70151e-309
552  209018  199500  5.70155e-309
553  209691  199900  5.70223e-309
554  210417  200900  5.70229e-309
555  211311  201300  5.70233e-309
556  212118  202200  5.7028e-309
557  212896  202800  5.70291e-309
558  213673  204000  5.70308e-309
559  214526  205300  5.70322e-309
560  215306  206600  5.70337e-309
561  216025  207000  5.70414e-309
562  216765  207900  5.70446e-309
563  217525  208400  5.70467e-309
564  218329  209100  5.70467e-309
565  219188  209400  5.70467e-309
566  219928  210600  5.70533e-309
567  220684  210900  5.70566e-309
568  221460  211300  5.70577e-309
569  222312  212000  5.70609e-309
570  223105  212600  5.70626e-309
571  224023  213100  5.70632e-309
572  224807  213800  5.70668e-309
573  225682  214600  5.70698e-309
574  226521  215400  5.70734e-309
575  227282  216700  5.70755e-309
576  228056  217500  5.70774e-309
577  228906  218700  5.70804e-309
578  229751  219600  5.70804e-309
579  230669  220100  5.70817e-309
580  231566  220900  5.70825e-309
581  232461  221600  5.70836e-309
582  233352  222600  5.70844e-309
583  234225  223600  5.70851e-309
584  235034  224300  5.70893e-309
585  235786  224800  5.70904e-309
586  236613  225900  5.70925e-309
587  237423  226600  5.70963e-309
588  238359  227900  5.70974e-309
589  239213  228700  5.70978e-309
590  239970  230100  5.71021e-309
591  240820  231100  5.71021e-309
592  241619  231800  5.71063e-309
593  242534  232500  5.71069e-309
594  243359  233600  5.71082e-309
595  244249  234700  5.71091e-309
596  245061  235600  5.71144e-309
597  245968  236200  5.71156e-309
598  246758  236900  5.71175e-309
599  247555  237500  5.71212e-309
600  248361  238500  5.71222e-309
601  249221  239300  5.71237e-309
602  250048  239900  5.71246e-309
603  250952  240700  5.7125e-309
604  251767  241400  5.71265e-309
605  252648  242700  5.71282e-309
606  253553  243800  5.71284e-309
607  254418  244500  5.71309e-309
608  255272  245200  5.71326e-309
609  256170  246200  5.7133e-309
610  257126  247000  5.7143e-309
611  258118  247900  5.71456e-309
612  258919  249400  5.71496e-309
613  259748  250500  5.71511e-309
614  260687  251500  5.71528e-309
615  261527  252800  5.71579e-309
616  262494  253400  5.71598e-309
617  263354  254300  5.71621e-309
618  264418  255600  5.71649e-309
619  265324  256600  5.71666e-309
620  266153  257400  5.71672e-309
621  267074  258100  5.71706e-309
622  267995  259500  5.7177e-309
623  268857  260600  5.71821e-309
624  269738  261000  5.71867e-309
625  270669  261700  5.71874e-309
626  271704  262900  5.71891e-309
627  272651  264400  5.71912e-309
628  273536  265100  5.71942e-309
629  274444  265900  5.71971e-309
630  275327  266800  5.71984e-309
631  276137  267500  5.71988e-309
632  277144  268000  5.71997e-309
633  278087  268500  5.72096e-309
634  279044  268900  5.72101e-309
635  279957  269800  5.72137e-309
636  280889  270200  5.7216e-309
637  281801  271200  5.72169e-309
638  282864  272500  5.72183e-309
639  283831  273600  5.72232e-309
640  284750  274700  5.72256e-309
